순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
588,속닥속닥,최상훈,(주)파이브데이,,(주)그노스,2018/07/13,개봉영화,장편,한국,314,"1,900,914,300","217,444","342,387,100","36,960",공포(호러),15세이상관람가,일반영화
589,라듸오 데이즈,하기호,(주)싸이더스,,(주)싸이더스,2008/01/31,개봉영화,장편,한국,254,"1,405,676,000","214,946","562,068,500","82,637",코미디,12세이상관람가,일반영화
590,"대한이, 민국씨",최진원,(주)퍼니필름,,롯데쇼핑㈜롯데엔터테인먼트,2008/02/14,개봉영화,장편,한국,174,"1,192,710,500","212,854","243,088,500","42,542",코미디,15세이상관람가,일반영화
591,연애의 맛,김아론,(주)청우필름,,"(주)와우픽쳐스,(주)쇼박스",2015/05/07,개봉영화,장편,한국,398,"1,706,805,153","212,154","382,376,253","45,698",멜로/로맨스,청소년관람불가,일반영화
592,자칼이 온다,배형준,(주)노마드필름,,롯데쇼핑㈜롯데엔터테인먼트,2012/11/15,개봉영화,장편,한국,300,"1,430,079,500","210,278","457,094,500","62,744",코미디,15세이상관람가,일반영화
593,덕수리 5형제,전형준,㈜기억속의매미,,롯데쇼핑㈜롯데엔터테인먼트,2014/12/04,개봉영화,장편,한국,346,"1,560,183,200","206,953","363,798,600","45,578",코미디,15세이상관람가,일반영화
594,코알라 키드 : 영웅의 탄생,이경호,"㈜디지아트프로덕션,더 애니메이션 픽쳐 컴퍼니",,롯데쇼핑㈜롯데엔터테인먼트,2012/01/12,개봉영화,장편,한국,234,"1,434,535,500","205,579","344,989,500","48,695",애니메이션,전체관람가,일반영화
595,남과 여,이윤기,(주)영화사봄,,(주)쇼박스,2016/02/25,개봉영화,장편,한국,449,"1,651,122,533","203,775","598,578,633","72,223",멜로/로맨스,청소년관람불가,일반영화
596,비스트,이정호,(주)스튜디오앤뉴,,(주)넥스트엔터테인먼트월드(NEW),2019/06/26,개봉영화,장편,한국,737,"1,596,148,590","202,007","393,815,760","47,676",범죄,15세이상관람가,일반영화
597,페스티발,이해영,"(주)영화사아침,(주)타이거픽쳐스",,(주)시너지하우스 (시너지),2010/11/18,개봉영화,장편,한국,233,"1,541,834,737","200,123","533,152,500","65,753",코미디,청소년관람불가,일반영화
598,도레미파솔라시도,강건향,(주)홍상자엔터테인먼트,,(주)시네마서비스,2008/04/03,개봉영화,장편,한국,167,"1,182,401,000","199,151","216,065,500","35,648",드라마,12세이상관람가,일반영화
599,어린 의뢰인,장규성,이스트드림시노펙스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2019/05/22,개봉영화,장편,한국,671,"1,631,919,600","198,211","384,717,140","45,008",드라마,12세이상관람가,일반영화
600,중천,조동오,(주)나비픽처스,,씨제이엔터테인먼트,2006/12/21,개봉영화,장편,한국,0,0,"197,590",0,"52,559",액션,12세이상관람가,일반영화
601,언니,임경택,"필름에이픽쳐스,(유)조이앤시네마",,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019/01/01,개봉영화,장편,한국,530,"1,746,373,250","197,134","360,066,100","40,427",액션,청소년관람불가,일반영화
602,"안녕, 티라노: 영원히, 함께",시즈노 코분,(주)미디어캐슬,,(주)넥스트엔터테인먼트월드(NEW),2019/08/14,개봉영화,장편,한국,512,"1,511,922,090","194,114","260,070,440","31,176",애니메이션,전체관람가,독립/예술영화
603,투혼,김상진,"㈜감독의집,(주)시네마제니스",,"(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트",2011/10/06,개봉영화,장편,한국,356,"1,336,010,500","193,724","351,391,000","47,396",드라마,전체관람가,일반영화
604,"무현, 두 도시 이야기",전인환,"<무현, 두 도시 이야기> 제작위원회 ,엠앤씨에프",,(주)모멘텀엔터테인먼트,2016/10/26,개봉영화,장편,한국,66,"1,517,735,100","193,578","521,021,200","63,745",다큐멘터리,15세이상관람가,독립/예술영화
605,언더독,"오성윤,이춘백",(주)오돌또기,,(주)넥스트엔터테인먼트월드(NEW),2019/01/16,개봉영화,장편,한국,612,"1,485,934,830","193,484","420,191,450","50,913",애니메이션,전체관람가,일반영화
606,죽어도 해피엔딩,강경훈,"(주)싸이더스,(주)프리미어엔터테인먼트",,(주)프라임엔터테인먼트,2007/08/22,개봉영화,장편,한국,0,0,"192,686",0,"57,292",코미디,15세이상관람가,일반영화
607,응징자,신동엽,(주)엔브릭스,,(주)인벤트스톤,2013/10/30,개봉영화,장편,한국,305,"1,388,412,500","192,347","364,187,000","48,291",액션,청소년관람불가,일반영화
608,글로리데이,최정열,(주)보리픽쳐스,,(주)엣나인필름,2016/03/24,개봉영화,장편,한국,494,"1,484,010,868","189,047","451,492,668","54,491",드라마,15세이상관람가,독립/예술영화
609,런닝맨 : 풀룰루의 역습,윤준상,(주)로커스,,(주)넥스트엔터테인먼트월드(NEW),2018/12/05,개봉영화,장편,한국,511,"1,414,494,750","186,324","233,597,650","28,810",애니메이션,전체관람가,일반영화
610,우상,이수진,"리 공동체 영화사,(주)바른손",,CGV아트하우스,2019/03/20,개봉영화,장편,한국,900,"1,581,839,728","183,784","534,386,118","59,765",스릴러,15세이상관람가,일반영화
611,마이 리틀 히어로,김성훈,굿초이스컷픽쳐스(주),,씨제이이앤엠(주),2013/01/09,개봉영화,장편,한국,341,"1,286,203,128","183,650","358,976,628","49,040",드라마,전체관람가,일반영화
612,므이,김태경,"(주)빌리픽쳐스,㈜팝콘필름",,씨제이엔터테인먼트,2007/07/25,개봉영화,장편,한국,0,0,"180,999",0,"44,887",공포(호러),15세이상관람가,일반영화
613,뷰티풀 선데이,진광교,"시네라인투(주),시네라인㈜인네트",,(주)쇼박스,2007/03/29,개봉영화,장편,한국,0,0,"180,178",0,"56,724",스릴러,청소년관람불가,일반영화
614,아빠가 여자를 좋아해,이광재,(주)하리마오픽쳐스,,(주)쇼박스,2010/01/14,개봉영화,장편,한국,283,"1,264,356,155","177,535","349,074,500","45,922",멜로/로맨스,12세이상관람가,일반영화
615,채비,조영준,(주)26컴퍼니,,오퍼스픽쳐스(유),2017/11/09,개봉영화,장편,한국,480,"1,249,977,864","175,889","320,185,164","43,533",드라마,12세이상관람가,일반영화
616,톱스타,박중훈,영화사 문(주),,롯데쇼핑㈜롯데엔터테인먼트,2013/10/24,개봉영화,장편,한국,397,"1,194,180,500","175,152","391,021,500","55,093",드라마,15세이상관람가,일반영화
617,언니가 간다,김창래,시오필름(주),,(주)시네마서비스,2007/01/04,개봉영화,장편,한국,0,0,"174,543",0,"45,621",코미디,12세이상관람가,일반영화
618,아빠를 빌려드립니다,김덕수,"(주)이스트스카이필름,(주)어뮤즈엔터테인먼트",,"메가박스중앙(주)플러스엠,(주)레드로버",2014/11/20,개봉영화,장편,한국,326,"1,188,673,500","172,445","320,981,200","44,487",코미디,12세이상관람가,일반영화
619,자전차왕 엄복동,김유성,(주)셀트리온엔터테인먼트,,(주)셀트리온엔터테인먼트,2019/02/27,개봉영화,장편,한국,624,"1,304,861,670","172,212","349,815,310","44,630",드라마,12세이상관람가,일반영화
