영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
퀵,조범구,씨제이이앤엠(주),2011/07/20,한국,"22,960,890,000",코미디,15세이상관람가,이민기
감기,김성수,아이러브시네마,2013/08/14,한국,"21,784,202,000",드라마,15세이상관람가,장혁
하모니,강대규,씨제이엔터테인먼트,2010/01/28,한국,"21,992,266,198",드라마,12세이상관람가,김윤진
거북이 달린다,이연우,(주)쇼박스,2009/06/11,한국,"20,857,347,292",드라마,15세이상관람가,김윤석
미녀는 괴로워,김용화,(주)쇼박스,2006/12/14,한국,0,멜로/로맨스,12세이상관람가,주진모
스물,이병헌,(주)넥스트엔터테인먼트월드(NEW),2015/03/25,한국,"23,558,988,686",코미디,15세이상관람가,김우빈
식객,전윤수,씨제이엔터테인먼트,2007/11/01,한국,0,드라마,12세이상관람가,김강우
방자전,김대우,씨제이엔터테인먼트,2010/06/02,한국,"22,853,629,794",사극,청소년관람불가,김주혁
마더,봉준호,씨제이엔터테인먼트,2009/05/28,한국,"20,195,373,838",드라마,청소년관람불가,김혜자
오싹한 연애,황인호,씨제이이앤엠(주),2011/12/01,한국,"21,965,313,000",공포(호러),12세이상관람가,손예진
형,권수경,씨제이이앤엠(주),2016/11/23,한국,"23,129,111,893",코미디,12세이상관람가,조정석
친구 2,곽경택,롯데쇼핑㈜롯데엔터테인먼트,2013/11/14,한국,"21,804,687,513",액션,청소년관람불가,유오성
26년,조근현,"(주)인벤트스톤,영화사청어람(주)",2012/11/29,한국,"21,241,327,145",액션,15세이상관람가,진구
워낭소리,이충렬,㈜인디스토리,2009/01/15,한국,"19,259,975,032",다큐멘터리,전체관람가,최원균
고지전,장훈,(주)쇼박스,2011/07/20,한국,"21,968,557,600",드라마,15세이상관람가,신하균
프리즌,나현,(주)쇼박스,2017/03/23,한국,"23,790,276,987",범죄,청소년관람불가,한석규
헬로우 고스트,김영탁,(주)넥스트엔터테인먼트월드(NEW),2010/12/22,한국,"21,154,651,779",코미디,12세이상관람가,차태현
극비수사,곽경택,(주)쇼박스,2015/06/18,한국,"22,389,535,897",드라마,15세이상관람가,김윤석
